Candidato,Voti,Lista,COALIZIONE
VACCARELLA ELISABETTA,3931,PD,1
PETRUZZELLI PIETRO,3011,PD,1
LEONETTI LORENZO,2267,PD,1
LACOPPOLA VITO,2164,DECARO PER BARI,1
ROMANO PAOLA,1879,PD,1
SALEMMI GIOVANNA,1771,PD,1
RANIERI ROMEO,1728,CON LECCESE SINDACO,1
PALONE CARLA,1701,DECARO PER BARI,1
CAVONE MICHELANGELO,1428,PD,1
BOTTALICO FRANCESCA,1372,BARI BENE COMUNE,3
SCARAMUZZI DOMENICO,1370,PD,1
VIGGIANO GIUSEPPE,1308,FDI,2
BOZZO ANTONIO,1298,PD,1
MILONE NICOLETTA,1294,CON LECCESE SINDACO,1
BRONZINI MARCO,1293,PD,1
LOPRIENO NICOLA,1231,DECARO PER BARI,1
PERNA ANGELA,1201,DECARO PER BARI,1
AMORUSO NICOLA,1200,PD,1
GIANNUZZI FRANCESCO,1142,CON LECCESE SINDACO,1
SISTO FABIO,1086,PD,1
PAPARELLA MICAELA,1085,PD,1
ANACLERIO ALESSANDRA,1081,CON LECCESE SINDACO,1
DE MARZO LAURA,1058,FDI,2
CIAULA ANTONIO,1040,FDI,2
ALBENZIO PIETRO,1035,DECARO PER BARI,1
SCHIRONE CLAUDIO,1019,NOI POPOLARI,1
LAVOPA PASQUALE,940,BARI CITTA' D'EUROPA,3
SISTO LIVIO,928,DECARO PER BARI,1
AMORUSO VALERIA,917,ROMITO SINDACO,2
LA PENNA ANNARITA,905,DECARO PER BARI,1
NEVIERA GIUSEPPE,884,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
DELLE FONTANE ANTONELLO,846,M5S,3
MELINI IRMA,808,FDI,2
SCORCIA GIACOMA,803,DECARO PER BARI,1
DE MARZO DIEGO,801,PROGETTO BARI CON LECCESE,1
CICCIOMESSERE LUCA,761,FDI,2
LAFORGIA VICTOR,733,LAFORGIA SINDACO,3
PENNISI CRISTINA,717,DECARO PER BARI,1
DURANTE MARIA STEFANIA,698,PD,1
SANSEVERINO GESUALDO,694,PD,1
CIPRIANI DANILO,688,BARI BENE COMUNE,3
INTRONA PIERLUIGI,678,LECCESE SINDACO,1
PASCULLI EMANUELE,676,BARI BENE COMUNE,3
CARRIERI GIUSEPPE,666,FORZA ITALIA,2
RUSSO FRATTASI SILVIA,660,PROGETTO BARI CON LECCESE,1
PIERUCCI INES,644,EUROPA VERDE - VERDI,1
CASCELLA GIUSEPPE,640,NOI POPOLARI,1
VISCONTI ALESSANDRO,630,DECARO PER BARI,1
LACATENA GIOVANNI,615,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
CARADONNA VITO,607,PROGETTO BARI CON LECCESE,1
BARONE ILARIA,599,PROGETTO BARI CON LECCESE,1
BALDUCCI ANNA,574,FDI,2
LAPENNA ALESSANDRO FRANCESCO,574,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
ALBERGO GRAZIA,570,LECCESE SINDACO,1
DI GIORGIO GIUSEPPE,554,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
PATRUNO CARLO,552,ROMITO SINDACO,2
NARDULLI NUNZIO,551,LECCESE SINDACO,1
MORETTI GIOVANNI,550,LAFORGIA SINDACO,3
MORETTI NICOLA,513,ROMITO SINDACO,2
DAMIANI NICOLA,511,LAFORGIA SINDACO,3
CENTOLA MAURIZIO,504,FDI,2
GUIDO ANTONIO,501,FDI,2
CAMPANELLI SALVATORE,494,CON LECCESE SINDACO,1
MANZARI FRANCESCO,492,ROMITO SINDACO,2
FUMAI GIUSEPPE,491,PD,1
MUOLO GIUSEPPE,491,DECARO PER BARI,1
ACQUAVIVA NICOLA,487,LECCESE SINDACO,1
LOIACONO GIUSEPPE,474,CON LECCESE SINDACO,1
DE CARNE FRANCESCO,465,LECCESE SINDACO,1
CIPRIANI LUIGI,465,NOI MODERATI,2
TALARICO ANDREA,460,CON LECCESE SINDACO,1
LONGO FRANCESCO,459,BARI BENE COMUNE,3
FRANCO STEFANO,449,BARI CITTA' D'EUROPA,3
PERRUGGINI ANTONIO,435,FORZA ITALIA,2
D'AMORE GIORGIO,432,BARI CITTA' D'EUROPA,3
MARIANI ANTONIO,423,DECARO PER BARI,1
PALMIOTTI GENNARO MARIA,416,CON LECCESE SINDACO,1
CARELLI ITALO,416,M5S,3
GIRONE MARIA,411,CON LECCESE SINDACO,1
DEGENNARO ANNA,399,FDI,2
MAGRONE FRANCESCO,381,FDI,2
LA BATTAGLIA VITTORIO,379,LAFORGIA SINDACO,3
BATTISTA LOREDANA,378,NOI POPOLARI,1
BALDASSARRE MARIA ELISABETTA,373,LAFORGIA SINDACO,3
FERRIERI FRANCESCO,365,ROMITO SINDACO,2
MAGRONE PASQUALE,362,NOI POPOLARI,1
TESTINI ANTONIO,359,FDI,2
ATTANASIO TOMMASO,353,FDI,2
LOMORO VINCENZO,351,DECARO PER BARI,1
ALTINI CLAUDIO,351,BARI CITTA' D'EUROPA,3
MARCHITELLI GERARDO,348,ROMITO SINDACO,2
SOCCIO MATTEO,339,CON LECCESE SINDACO,1
ABRESCIA MATTEO,336,FDI,2
DE LEO ANNA,334,CON LECCESE SINDACO,1
BELLOMO ANTONIO,330,PROGETTO BARI CON LECCESE,1
SOLAZZO EMILIO,321,FDI,2
PALOSCIA ROCCO FABIO,317,DECARO PER BARI,1
TRAVERSI GIOVANNI,313,FDI,2
CORNARO MARCO,311,ROMITO SINDACO,2
MONACO GIUSEPPE,311,ROMITO SINDACO,2
BASSO PIERANGELO,311,LAFORGIA SINDACO,3
SPADAVECCHIA VITO ANTONIO,305,EUROPA VERDE - VERDI,1
MASTROMARCO GIUSEPPE,301,GENERAZIONE URBANA,3
LABRIOLA MICHELA,300,LAFORGIA SINDACO,3
SPAGNUOLO SERENA,297,BARI BENE COMUNE,3
DE SANTIS GIUSEPPE,291,LECCESE SINDACO,1
POLISENO ONOFRIO,282,FORZA ITALIA,2
GIAQUINTO PATRIZIA,280,PROGETTO BARI CON LECCESE,1
DI FONTE LUIGI,278,ROMITO SINDACO,2
DE SERIO DOMENICO FABRIZIO,276,LAFORGIA SINDACO,3
SCARINGELLO LUIGI,275,LAFORGIA SINDACO,3
DIGILIO FRANCESCO SAVERIO,270,BARI BENE COMUNE,3
LERRO MARCELLA,269,LAFORGIA SINDACO,3
LOCONSOLE GIANLUCA,266,PD,1
BOSCIA DANIELA EZIA,265,DECARO PER BARI,1
SCIACOVELLI DOMENICO,263,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
BELLOMO ANTONELLA,261,FDI,2
MAGGIORE STEFANIA,256,M5S,3
LELI FABIO,255,M5S,3
MIRIZZI PAOLO,252,LIBERALI E RIFORMISTI - nPSI,2
DE SIMONE CATERINA,248,BARI BENE COMUNE,3
CASSANO CARMEN,246,LAFORGIA SINDACO,3
MANZARI NICOLA,246,BARI X FABIO ROMITO,2
VIRGILIO DEBORAH,240,PD,1
CECERE MICHELE,238,PROGETTO BARI CON LECCESE,1
CAMPESE FABIO,237,FORZA ITALIA,2
CELLAMARE LUIGI SIMONE,236,FDI,2
VICINO GLORIA ANNA,235,BARI BENE COMUNE,3
PESOLA VITO,224,PD,1
LAFORGIA VERA,223,BARI CITTA' D'EUROPA,3
VULCANO ANTONELLA,221,BARI BENE COMUNE,3
ZAMPARELLA MARIA,221,NOI POPOLARI,1
SCARAMUZZI ANGELO,217,FDI,2
CAZZATO LUIGI,217,ROMITO SINDACO,2
CARBONARA NUNZIA,217,LAFORGIA SINDACO,3
BASILE MARINA,215,M5S,3
VALENZANO BARBARA,214,CON LECCESE SINDACO,1
BOCCASILE ALESSANDRA,214,BARI BENE COMUNE,3
DE MARIO ANTONIO,214,BARI BENE COMUNE,3
CURCI ANTONIO,209,PD,1
DE FRANCISCIS GIOVANNA DANIELA,209,LAFORGIA SINDACO,3
SASSANELLI MARIA,200,PD,1
GIRONE STEFANIA,197,M5S,3
DE FALCO LUCIA,196,LAFORGIA SINDACO,3
DI CANDIA MICHELE,187,FDI,2
CEGLIE ANGELO,184,LAFORGIA SINDACO,3
INGROSSO GIUSEPPE,184,M5S,3
SBORGIA MARIA EMANUELA,184,FORZA ITALIA,2
MANGONE ANNAROSA,183,BARI BENE COMUNE,3
PERRELLI NICOLA,182,NOI MODERATI,2
RAPANA' MICHELE,180,FORZA ITALIA,2
AMBRUOSO SARA,178,NOI POPOLARI,1
GIOVINE PAOLO ALFREDO,177,FORZA ITALIA,2
LORUSSO MARIA,171,FDI,2
ACCETTURA SIMONA RITA,170,ROMITO SINDACO,2
MARIANI EUGENIA,169,PD,1
VOLPE GIULIANO,168,LAFORGIA SINDACO,3
TUNDO SIMONA,167,EUROPA VERDE - VERDI,1
DE RAZZA SABINO,165,BARI BENE COMUNE,3
MATINELLI VITO,163,DECARO PER BARI,1
MARCHESE ALFREDO,162,LAFORGIA SINDACO,3
ARALDO FRANCESCA,162,LECCESE SINDACO,1
CAMPANELLA RICCARDO,162,NOI POPOLARI,1
PORCARO ILARIA,161,PROGETTO BARI CON LECCESE,1
TIBERINO MARIA LUISA,159,PROGETTO BARI CON LECCESE,1
GENCHI SEBASTIANO,157,PD,1
MASSARI RITA,156,FORZA ITALIA,2
SPADAFINA GIULIA,156,GENERAZIONE URBANA,3
VISAGGIO CLAUDIO TOBIA,155,ROMITO SINDACO,2
POLEMIO MAURIZIO,154,BARI BENE COMUNE,3
JARBAN BASSEM,153,BARI BENE COMUNE,3
DELL'ACQUA PATRIZIA,153,BARI CITTA' D'EUROPA,3
VOZA ROBERTO,152,LAFORGIA SINDACO,3
MEGLI EMANUELA,152,LECCESE SINDACO,1
TEDESCO MARCELLO,148,BARI BENE COMUNE,3
ROGLIERO MAURIZIO MASSIMILIANO,147,ROMITO SINDACO,2
MERO MASSIMILIANO,146,CON LECCESE SINDACO,1
FERRANTE ROSA,145,BARI CITTA' D'EUROPA,3
LOVREGLIO RAFFAELLA,144,DECARO PER BARI,1
GIAMPIETRO GABRIELE,144,LECCESE SINDACO,1
GELAO TOMMASO,144,BARI CITTA' D'EUROPA,3
PUGLIESE ANTONIO,141,ROMITO SINDACO,2
MILELLA GIUSEPPE,140,CON LECCESE SINDACO,1
NAVACH GIORGIA,139,FDI,2
FANELLI MARIALESSIA,138,GENERAZIONE URBANA,3
RUCCIA MARIARITA,133,PD,1
MATTIA ANGELA RITA,133,FDI,2
CALISI NICOLA,130,FDI,2
LORUSSO GABRIELLA,130,FORZA ITALIA,2
LA CANDIA GIUSEPPINA,129,LIBERALI E RIFORMISTI - nPSI,2
GUARAGNO VINCENZA,128,ROMITO SINDACO,2
CECI ANGELO,127,PD,1
BRETONE DANIELE LUIGI,126,BARI X FABIO ROMITO,2
DI CORATO SALVATORE,123,BARI BENE COMUNE,3
RUBINO MARIA ELISABETTA,122,BARI X FABIO ROMITO,2
PASQUALE DOMENICO,121,DECARO PER BARI,1
ZITO ADRIANA,120,ROMITO SINDACO,2
SANTORO ANGELA,118,LAFORGIA SINDACO,3
ROPPO EMILIA,118,LECCESE SINDACO,1
GERNONE LUCA,118,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
CAPONIO MARA,117,FORZA ITALIA,2
STEFANI' CRISTIANO,116,ROMITO SINDACO,2
ZONNO TERESA,116,LECCESE SINDACO,1
DE CICCO ANTONIO,116,NOI MODERATI,2
FAZIO BONINA CONCETTA,115,ROMITO SINDACO,2
GIORDANO FRANCESCO,115,LIBERALI E RIFORMISTI - nPSI,2
GIAMMARIA ROSA,113,FORZA ITALIA,2
IANNONE DANILA,112,NOI POPOLARI,1
VERNOLE GIACOMO,111,ROMITO SINDACO,2
D'ARGENTO LARA,110,CON LECCESE SINDACO,1
SBISA' UGO,110,LAFORGIA SINDACO,3
D'ALANO VITO,110,BARI CITTA' D'EUROPA,3
DE BENEDICTIS TERESA,110,BARI X FABIO ROMITO,2
TRAVERSA MICHELE,109,LECCESE SINDACO,1
TARTARINO LEONARDO,109,LIBERALI E RIFORMISTI - nPSI,2
SALTINO CINZIA,108,FDI,2
SCELSI GABRIELE,108,M5S,3
LEMBO MAURIZIO,108,BARI BENE COMUNE,3
MAFFEI PRUDENZA,107,LECCESE SINDACO,1
MILELLA ROCCO,107,BARI X FABIO ROMITO,2
GIODICE-SABBATELLI VENANZIA,106,LAFORGIA SINDACO,3
FRAPPAMPINA VINCENZO,106,PROGETTO BARI CON LECCESE,1
MASSARI SAVERIO,105,BARI BENE COMUNE,3
PICCOLI ANNALAURA ASSUNTA,104,ROMITO SINDACO,2
MASSAFRA LOREDANA,104,BARI CITTA' D'EUROPA,3
CARDONE CLARA,102,ROMITO SINDACO,2
TARANTINI MINA,102,ROMITO SINDACO,2
GAMBACORTA MICHELE,102,NOI MODERATI,2
FIORENTINO ANNA,101,BARI BENE COMUNE,3
SIFANNO MARIA,101,NOI MODERATI,2
OLIVA NICOLA,100,LAFORGIA SINDACO,3
MANGIALARDI ALESSANDRO,100,GENERAZIONE URBANA,3
CITARELLA ANTONIA,98,CON LECCESE SINDACO,1
LAPICIRELLA GIULIANO,98,LECCESE SINDACO,1
FIORENTINO IRENE,97,CON LECCESE SINDACO,1
BELLOMO CECILIA,97,FORZA ITALIA,2
LOMBARDI EUGENIO,96,M5S,3
SFORZA RAFFAELE,95,LAFORGIA SINDACO,3
CASALINO VINCENZO,95,PROGETTO BARI CON LECCESE,1
AUTERI ELENA,93,FDI,2
BRUNI CARLO,92,BARI BENE COMUNE,3
GIRONE ANNALISA,91,BARI X FABIO ROMITO,2
MARTINO ANDREA,90,BARI BENE COMUNE,3
FORTUNA IMMACOLATA,89,ROMITO SINDACO,2
MERCOLEDISANTO GIUSEPPE,89,FORZA ITALIA,2
CANGIALOSI BARBARA,88,CON LECCESE SINDACO,1
BRAMANTE ANTONIO,88,EUROPA VERDE - VERDI,1
ZAHRA MAMUN,87,LECCESE SINDACO,1
GLORIOSO MARIA,87,BARI X FABIO ROMITO,2
CAMPOBASSO GERMANO,86,FDI,2
MONNO LUIGI,85,ROMITO SINDACO,2
PELLICANI STEFANO,83,LAFORGIA SINDACO,3
SISTO INES,83,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
DE TOMA LUIGI,83,PROGETTO BARI CON LECCESE,1
BATTISTA VITO,82,PD,1
DE LUCA GIUSEPPE,81,ROMITO SINDACO,2
ABBRESCIA LUCIA,80,M5S,3
D'ORAZIO CARMELA MARIA PATRIZIA,80,LECCESE SINDACO,1
BISCOTTI NICOLA,80,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
MARZULLI ANTONIA,79,FDI,2
PESCE GINA LILIA,79,CON LECCESE SINDACO,1
TRAVERSA LUCA,79,GENERAZIONE URBANA,3
D'ADDABBO LUCA,78,ROMITO SINDACO,2
DE SIANO ANGELO GIUSEPPE,78,PROGETTO BARI CON LECCESE,1
BALICE IVANA,77,LECCESE SINDACO,1
CAVALLO CLAUDIA,77,GENERAZIONE URBANA,3
CASADIBARI SAMANTHA,76,CON LECCESE SINDACO,1
D'ABBICCO FRANCESCO,75,CON LECCESE SINDACO,1
RUSCELLI ROSSANA,75,BARI BENE COMUNE,3
ALFONSO VITO,74,LAFORGIA SINDACO,3
FAVIA ROSA ANNA,74,LAFORGIA SINDACO,3
GERNONE SIMONA,74,AGORA',2
TRIDENTE ROSANNA,73,DECARO PER BARI,1
RAGONE ANTONIETTA,72,CON LECCESE SINDACO,1
PACIFICO ROBERTA,72,FORZA ITALIA,2
COSTANZA NICOLA,72,GENERAZIONE URBANA,3
VISCIGLIA MARIO,72,LIBERALI E RIFORMISTI - nPSI,2
GIORDANO GIUSEPPE,71,FDI,2
ANNOSCIA IMMACOLATA,71,PROGETTO BARI CON LECCESE,1
CARRASSI SAMANTHA,71,NOI MODERATI,2
IANDOLO CARMINE,70,ROMITO SINDACO,2
LORENZELLI GINO,70,LAFORGIA SINDACO,3
CERNO' VALENTINA,70,NOI POPOLARI,1
COLUCCI ROSANGELA,68,ROMITO SINDACO,2
MELE MARILENA STEFANIA,68,LECCESE SINDACO,1
ANTONINO NUNZIA,68,BARI BENE COMUNE,3
RUVOLO NICOLA,68,BARI CITTA' D'EUROPA,3
QUARTO NICOLA,68,BARI X FABIO ROMITO,2
ALESSANDRINO MARIA,67,M5S,3
RANIERI FRANCESCO,67,M5S,3
MODUGNO MARCO,67,BARI BENE COMUNE,3
MAGGI NICOLA,67,BARI CITTA' D'EUROPA,3
MASELLI CARMELA,67,NOI MODERATI,2
BALENA GAETANO,67,SCIACOVELLI SINDACO - CI PIACE!,4
CRESPO CORREOSO ANA IRENE,66,ROMITO SINDACO,2
CIONFOLI NOEMI,66,LAFORGIA SINDACO,3
LISCO VIRGINIA MARIA,66,GENERAZIONE URBANA,3
IUSCO MAURIZIO,65,PD,1
GATTI LUISA,65,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
SURICO MARIA,65,BARI CITTA' D'EUROPA,3
DEL CORE VITO,64,CON LECCESE SINDACO,1
PERNA TERESA,64,BARI BENE COMUNE,3
CATACCHIO GIOVANNA,64,BARI CITTA' D'EUROPA,3
COCCORESE DANIELA,63,CON LECCESE SINDACO,1
VENTRELLA ROSITA,63,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
MORELLI GIUSEPPE,63,BARI BENE COMUNE,3
VESSIO IVANO,63,PROGETTO BARI CON LECCESE,1
CARADONNA MOSCATELLI PAOLO ALFONSO,63,BARI X FABIO ROMITO,2
