Candidato,Voti,Lista,COALIZIONE
DI LUZIO FILOMENA,14,LIBERALI E RIFORMISTI - nPSI,2
NASCA EMMANUELE,14,PCI,3
LAVERMICOCCA MARGHERITA,14,OLTRE MANGANO SINDACO,4
AIELLO MASSIMILIANO,14,PENSIONATI E INVALIDI,2
CAPUTO ALESSIA,13,PD,1
ROSSIELLO FILOMENA BARBARA ROSA,13,DECARO PER BARI,1
BARRACANE LUCIA,13,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
SCIANATICO NICOLA,13,BARI CITTA' D'EUROPA,3
VERDEBELLO DANIELE,13,BARI X FABIO ROMITO,2
ALBANESE LUCIO,13,NOI MODERATI,2
DE LETTERIIS ALESSANDRA,13,GENERAZIONE URBANA,3
DE SCISCIOLO FRANCESCO,13,LIBERALI E RIFORMISTI - nPSI,2
MARZOCCA CATALDO,13,LIBERALI E RIFORMISTI - nPSI,2
QUARTO GIAMPIETRO,13,LIBERALI E RIFORMISTI - nPSI,2
INTRONA MICHELE,13,SCIACOVELLI SINDACO - CI PIACE!,4
ALBERGO DONATA,13,PCI,3
RATANO NICOLA,13,PCI,3
CELLAMARE GAETANO,13,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
DE MARZO MICHELE,13,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
LAVERMICOCCA MICHELE,13,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
CALDARULO NICOLA,12,DECARO PER BARI,1
FURENTE GENNARO,12,M5S,3
ZAMBETTA ANTONIA,12,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
ZAVARELLA GIULIANO YURI,12,PROGETTO BARI CON LECCESE,1
CIRCELLA MARCO,12,EUROPA VERDE - VERDI,1
GIANVECCHIO FLAVIO,12,EUROPA VERDE - VERDI,1
GRIMALDI SALVATORE,12,SCIACOVELLI SINDACO - CI PIACE!,4
LONIGRO ALESSANDRO,12,PCI,3
CATACCHIO GIANLUCA,12,OLTRE MANGANO SINDACO,4
LEPORE MAURIZIO,12,MARIO CONCA PER BARI,2
ALBORE' LUCIANO,12,AGORA',2
TEDONE FRANCESCA,11,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
FASANO ROBERTO,11,BARI X FABIO ROMITO,2
DE LUCA BEATRICE,11,EUROPA VERDE - VERDI,1
GJUZI MIRELA,11,NOI MODERATI,2
CASSANO GENNARO,11,SCIACOVELLI SINDACO - CI PIACE!,4
LOPEZ GIUSEPPINA,11,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
PAPAPICCO VITO,11,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
SAPONE COSTANTINO PIETRO,11,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
GENCHI VITO MICHELE,10,DECARO PER BARI,1
PICCIRILLO MAURIZIO,10,DECARO PER BARI,1
ZACCARO GIUSEPPE,10,BARI CITTA' D'EUROPA,3
GRECO GIOVANNI,10,PROGETTO BARI CON LECCESE,1
PONTINI LEONARDO,10,BARI X FABIO ROMITO,2
DE MARCO IVANA,10,EUROPA VERDE - VERDI,1
DERENZIO ANTONIA,10,LIBERALI E RIFORMISTI - nPSI,2
MARROCCO MARIANNA,10,OLTRE MANGANO SINDACO,4
DE LEONARDIS GIANMARCO,9,CON LECCESE SINDACO,1
VITUCCI MICHELE,9,CON LECCESE SINDACO,1
DE MARZO VITO,9,LAFORGIA SINDACO,3
RIBATTI VALENTINA,9,LECCESE SINDACO,1
ANDRIOLA GIUSEPPE,9,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
FIORE CHRISTIAN GIUSEPPE,9,FORZA ITALIA,2
RAFFAELE CECILIA,9,BARI CITTA' D'EUROPA,3
AUCIELLO MARIANNA,9,BARI X FABIO ROMITO,2
D'AURIA GIOVANNI,9,BARI X FABIO ROMITO,2
MILILLO COLAIEMMA LUIGIA,9,BARI X FABIO ROMITO,2
FRADDOSIO ANTONIO,9,NOI POPOLARI,1
MARINELLI MARIA,9,EUROPA VERDE - VERDI,1
BELVISO ANTONIA,9,NOI MODERATI,2
RICCO GAETANO,9,NOI MODERATI,2
CARNIMEO ELISABETTA,9,SCIACOVELLI SINDACO - CI PIACE!,4
DI SANTO GIUSEPPE,9,SCIACOVELLI SINDACO - CI PIACE!,4
FRISONE STELLA,9,SCIACOVELLI SINDACO - CI PIACE!,4
VARRESE DOMENICO,9,PCI,3
LISO FRANCESCO,9,MARIO CONCA PER BARI,2
PASSAQUINDICI ANNALINDA,8,BARI CITTA' D'EUROPA,3
CASTORO VITANTONIO,8,NOI MODERATI,2
MARTELLI GIUSEPPE,8,NOI MODERATI,2
MONGELLI ANTONIO,8,NOI MODERATI,2
SPANO' ELENA,8,GENERAZIONE URBANA,3
MATARRESE FRANCESCO,8,PCI,3
CARLONE GIUSEPPE,8,OLTRE MANGANO SINDACO,4
DIFINO ROSARIA,7,PD,1
TVALADZE VARDO,7,LECCESE SINDACO,1
SETTANNI DONATA,7,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
TRICARICO CECILIA,7,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
DE GIOSA ANNA RITA,7,BARI X FABIO ROMITO,2
NAPOLEONE DONATO,7,BARI X FABIO ROMITO,2
GRIMALDI ASCELSA,7,NOI POPOLARI,1
LADISA LUCIA,7,NOI POPOLARI,1
BARCONE GIOVANNA FEDERICA,7,EUROPA VERDE - VERDI,1
CUCCOVILLO SILVIA,7,EUROPA VERDE - VERDI,1
RUSCITTO ROBERTA,7,GENERAZIONE URBANA,3
VISCIGLIA ANGELA,7,SCIACOVELLI SINDACO - CI PIACE!,4
CARONE CLAUDIO,7,OLTRE MANGANO SINDACO,4
BLASI DOMENICO GIORGIO,7,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
LAFRONZA LUIGI,7,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
ARTUSO MICHELE,6,BARI X FABIO ROMITO,2
RANIERI GIANVITO,6,BARI X FABIO ROMITO,2
TOLARO ANGELA SANTA,6,GENERAZIONE URBANA,3
SCOTTO MARCELLA,6,PCI,3
COZZI NICOLA,6,OLTRE MANGANO SINDACO,4
MERIELLO ANTONELLA GRAZIA,6,OLTRE MANGANO SINDACO,4
D'ALESSIO GIUSEPPE,6,MARIO CONCA PER BARI,2
D'ADDARIO VITO,6,MARIO CONCA PER BARI,2
POLISENO ANTONIA,6,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
ROMANO NICOLA,6,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
ANELLI VITO,6,AGORA',2
CONTE CLELIA,5,BARI CITTA' D'EUROPA,3
MOLINARI SERGIO,5,BARI X FABIO ROMITO,2
D'ALICANDRO CRESCENZO,5,NOI POPOLARI,1
LA FORGE ANNAMARIA,5,NOI POPOLARI,1
SANTORSOLA ROSA,5,NOI POPOLARI,1
MINEO EMMANUEL,5,EUROPA VERDE - VERDI,1
ABAGNALE BEATRICE,5,GENERAZIONE URBANA,3
LOMONACO FLORA,5,GENERAZIONE URBANA,3
PETRARULO CARMEN,5,GENERAZIONE URBANA,3
TARANTINI MARIAGIULIA,5,GENERAZIONE URBANA,3
MONTERISI LUCIANO,5,LIBERALI E RIFORMISTI - nPSI,2
DAMIANI ANTONIO,5,SCIACOVELLI SINDACO - CI PIACE!,4
MARINO VALENTINA,5,SCIACOVELLI SINDACO - CI PIACE!,4
RINALDI VINCENZO,5,PCI,3
KAPXHIU ALEKSANDER,5,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
ZEULI CARLO,5,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
TELEGRAFO GAETANO,5,AGORA',2
BARBONE EMANUELE,5,PENSIONATI E INVALIDI,2
SGARAMELLA TIZIANA,4,LECCESE SINDACO,1
CAMPANILE MARIACRISTINA,4,BARI CITTA' D'EUROPA,3
QERRETI DEVID,4,BARI CITTA' D'EUROPA,3
BUCCI ROSA MARIAGRECA RITA,4,PROGETTO BARI CON LECCESE,1
MIZZI NATALE,4,EUROPA VERDE - VERDI,1
MOZZI LILIANA,4,EUROPA VERDE - VERDI,1
DENTAMARO SERAFINA,4,NOI MODERATI,2
CALARCO SARA,4,LIBERALI E RIFORMISTI - nPSI,2
PUPPO ANGELA INCORONATA,4,LIBERALI E RIFORMISTI - nPSI,2
DE LUCIA GIUSEPPE,4,SCIACOVELLI SINDACO - CI PIACE!,4
CAMPAGNA DOMENICO,4,OLTRE MANGANO SINDACO,4
MONTESANO DOMENICO,4,OLTRE MANGANO SINDACO,4
BARONE COSIMO,4,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
CICE GIUSEPPE,4,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
FIORE MASSIMILIANO,4,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
GELAO ANNA,4,AGORA',2
CHISENA LEONARDO,4,AGORA',2
COFANO FLORIANA,3,DECARO PER BARI,1
PESCE GIANFRANCESCO,3,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
SALVATORE ANTONIO,3,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
TISTI COSIMA,3,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
CARBONARA SIMONA,3,NOI POPOLARI,1
RUTA MARIA,3,EUROPA VERDE - VERDI,1
BABUDRI LUCIO,3,NOI MODERATI,2
CHIECO VITO,3,SCIACOVELLI SINDACO - CI PIACE!,4
DI MEO FABIANA,3,SCIACOVELLI SINDACO - CI PIACE!,4
FANELLI FABIO,3,MARIO CONCA PER BARI,2
CASCIABANCO DOMENICO,3,MARIO CONCA PER BARI,2
VALERIO GAETANO,3,MARIO CONCA PER BARI,2
ANTONACCI PIETRO,3,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
RANIERI SIMONA,3,AGORA',2
SCHIRALDI CLAUDIA,3,AGORA',2
VENTOLA GIAMPIERO,3,AGORA',2
PRUDENTE FRANCESCA,3,PENSIONATI E INVALIDI,2
MINERVINI GILDA GIULIA,2,DECARO PER BARI,1
DIMUNDO ANNAMARIA,2,NOI POPOLARI,1
BIONDI ILARIA,2,EUROPA VERDE - VERDI,1
COCCORESE CARMINE,2,EUROPA VERDE - VERDI,1
BOTTALICO GIUSEPPE,2,NOI MODERATI,2
GUARRACINO LUISA,2,NOI MODERATI,2
MORGA GELSOMINA,2,LIBERALI E RIFORMISTI - nPSI,2
ANGIOLA ANTONIO,2,SCIACOVELLI SINDACO - CI PIACE!,4
PASOTTI SERAFINA,2,SCIACOVELLI SINDACO - CI PIACE!,4
GAGLIANO ALESSIO ALDO,2,SCIACOVELLI SINDACO - CI PIACE!,4
ANDRIANI ANNELLA,2,PCI,3
RUGGIERI ANNA MARIA,2,OLTRE MANGANO SINDACO,4
SIMONE SONIA,2,OLTRE MANGANO SINDACO,4
AMORUSO DANIELE,2,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
CATACCHIO CECILIA,2,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
CICCARELLI ELEONORA,2,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
FIGLIOLIA DEBORA RITA,2,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
GALLO ANNA,2,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
LOBASCIO IGNAZIO,2,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
SCANNICCHIO SIMONETTA,2,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
GVALADZE TSINARI,2,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
DE VINCENZO DOMENICO,2,AGORA',2
PALUMBO VITO,2,PENSIONATI E INVALIDI,2
CRUCIATA MARIA,1,LECCESE SINDACO,1
ROSSIELLO ANTONIO,1,BARI CITTA' D'EUROPA,3
GRASSI RICCARDO,1,NOI POPOLARI,1
CARELLA FABIO,1,NOI POPOLARI,1
DICATALDO FILOMENA,1,EUROPA VERDE - VERDI,1
DICORATO FRANCESCA,1,EUROPA VERDE - VERDI,1
PORCELLA LEONARDO,1,EUROPA VERDE - VERDI,1
SISTO CHANTAL,1,NOI MODERATI,2
MILELLA SABRINA,1,GENERAZIONE URBANA,3
PARTIPILO MARIANGELA,1,GENERAZIONE URBANA,3
QUARTO MARIA,1,PCI,3
AVANTARIO PAOLO,1,OLTRE MANGANO SINDACO,4
CERVELLERA MARIA,1,OLTRE MANGANO SINDACO,4
CITELLI SANDRA,1,OLTRE MANGANO SINDACO,4
BUTUNOI ANA MARIA,1,MARIO CONCA PER BARI,2
CASSOTTI IOLANDA,1,MARIO CONCA PER BARI,2
CENTRONE ROBERTO,1,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
FIERRO IMMACOLATA,1,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
FUMAI ANNA,1,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
OKONEDO ISAAC,1,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
UNGARO VITTORIO,1,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
FANELLI EMANUELLA,1,AGORA',2
TORELLI ANTONELLA,1,AGORA',2
LEPORE FRANCESCO PAOLO,1,AGORA',2
PROCE MICHELE,1,AGORA',2
VIRGILIO GIUSEPPE,1,AGORA',2
TOMEI FRANCESCO,1,PENSIONATI E INVALIDI,2
CRO STEFANO,1,PENSIONATI E INVALIDI,2
VENUTI ELVIRA,1,PENSIONATI E INVALIDI,2
MIGHALI GIORDANO,0,PD,1
IULIANO MARIA TERESA,0,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
DAMIANI DEBORA,0,NOI POPOLARI,1
DICOSOLA GAETANO,0,NOI POPOLARI,1
LOBASCIO MATTEO,0,NOI POPOLARI,1
DICATALDO LUIGI,0,EUROPA VERDE - VERDI,1
DICATALDO NICOLA,0,EUROPA VERDE - VERDI,1
ANNOSCIA ANTONIO,0,NOI MODERATI,2
FINEO ROSA,0,NOI MODERATI,2
PULITO FRANCESCO,0,NOI MODERATI,2
CATINO SARA,0,GENERAZIONE URBANA,3
LADISA ROSA,0,GENERAZIONE URBANA,3
BUCCOMINO FRANCA,0,SCIACOVELLI SINDACO - CI PIACE!,4
GERONIMO STEFANIA,0,SCIACOVELLI SINDACO - CI PIACE!,4
LANAVE MARIA,0,SCIACOVELLI SINDACO - CI PIACE!,4
LABIANCA PAOLA,0,SCIACOVELLI SINDACO - CI PIACE!,4
CARRASSI GIOVANNI,0,PCI,3
LATTARULI MAURIZIO,0,PCI,3
LUCCARELLI ALESSANDRA,0,PCI,3
MANODORO MARCO,0,PCI,3
NESTA DANILO,0,PCI,3
RIZZI FABIO,0,PCI,3
VITONE GIANGIACOMO,0,MARIO CONCA PER BARI,2
COLONNA GIUSEPPE,0,MARIO CONCA PER BARI,2
COSTANZA FRANCESCO,0,MARIO CONCA PER BARI,2
GRAMEGNA GIUSEPPE DOMENICO,0,MARIO CONCA PER BARI,2
MANICONE ANNA LISA,0,MARIO CONCA PER BARI,2
NICOLETTI ANGELA,0,MARIO CONCA PER BARI,2
SALESIANO FILOMENA,0,MARIO CONCA PER BARI,2
TARDIO CINZIA,0,MARIO CONCA PER BARI,2
FUMAI FRANCESCO,0,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
RUGGIERO ANGELA,0,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
CAVAGNA SAMANTHA,0,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
BARBIERI ANNAMARIA,0,AGORA',2
SCIACQUA STEFANIA ANNA MARIA,0,AGORA',2
BARBIERI FRANCESCO,0,AGORA',2
BIENNA MARCO ANTONIO,0,AGORA',2
CASTELLANETA PIETRO BIAGIO,0,AGORA',2
CISTULLI VINCENZO,0,AGORA',2
de NOIA FRANCESCO,0,AGORA',2
PETTA FRANCESCO,0,AGORA',2
IACOBELLIS VITA MARIA ANNA,0,PENSIONATI E INVALIDI,2
DI STASI ANGELA,0,PENSIONATI E INVALIDI,2
DE CANDIA MICHELE,0,PENSIONATI E INVALIDI,2
TRIZIO ANNAMARIA,0,PENSIONATI E INVALIDI,2
TANZI ROBERTO,0,PENSIONATI E INVALIDI,2
TETRO GIOVANNI,0,PENSIONATI E INVALIDI,2
LUISO PIETRO,0,PENSIONATI E INVALIDI,2
GIANNATTASIO ALESSIO,0,PENSIONATI E INVALIDI,2
ESPOSITO PAOLO,0,PENSIONATI E INVALIDI,2
CECERE GIANLUCA,0,PENSIONATI E INVALIDI,2
BERGAMASCO BRUNA,0,PENSIONATI E INVALIDI,2
SPERANZA FRANCESCA,0,PENSIONATI E INVALIDI,2
SEMERARO NICOLETTA,0,PENSIONATI E INVALIDI,2
SANTORUVO EMANUELE,0,PENSIONATI E INVALIDI,2
RUTA GIOACCHINO,0,PENSIONATI E INVALIDI,2
POMPONIO ANTONIA,0,PENSIONATI E INVALIDI,2
COCCIA EMILIA,0,PENSIONATI E INVALIDI,2
